姓名,年龄,Rating2.0,每回合杀敌,选手爆头率,每回合死亡,每回合贡献值
Xyp9x,23,1.27,0.77,38.70%,0.53,77.00%
dupreeh,25,1.17,0.74,49.40%,0.6,74.10%
gla1ve,23,1.13,0.69,40.90%,0.6,71.50%
device,23,1.23,0.77,32.70%,0.58,75.10%
Magisk,21,1.25,0.76,44.60%,0.56,77.90%
nitr0,23,1.08,0.66,46.20%,0.61,72.80%
NAF,21,1.16,0.72,39.60%,0.6,75.70%
EliGE,21,1.14,0.74,45.10%,0.67,71.50%
Stewie2K,21,1.03,0.64,49.10%,0.68,70.20%
Twistzz,19,1.14,0.71,68.70%,0.61,75.40%
Edward,31,1.03,0.67,50.10%,0.64,68.70%
Zeus,31,0.86,0.5,43.90%,0.65,65.80%
flamie,21,1.12,0.7,51.60%,0.66,69.20%
s1mple,21,1.32,0.87,39.90%,0.59,74.90%
electronic,20,1.11,0.69,47.60%,0.62,70.90%
allu,26,1.14,0.73,23.50%,0.61,69.50%
Aerial,25,1.12,0.7,38.40%,0.65,73.70%
xseveN,24,1.03,0.62,46.80%,0.64,70.80%
Aleksib,21,1.05,0.66,40.50%,0.66,70.50%
sergej,17,1.14,0.73,52.60%,0.65,72.20%
FalleN,27,1.12,0.7,34.90%,0.59,73.70%
fer,27,1.26,0.79,47.60%,0.62,75.40%
coldzera,24,1.28,0.82,50.30%,0.6,77.50%
TACO,24,1.02,0.61,43.70%,0.6,72.10%
felps,22,1.11,0.73,40.20%,0.69,69.80%
AdreN,29,1.02,0.63,49.30%,0.62,70.20%
olofmeister,27,0.99,0.62,49.00%,0.63,69.20%
GuardiaN,27,1.02,0.66,25.40%,0.61,66.50%
NiKo,22,1.22,0.8,46.80%,0.64,70.10%
rain,24,1.02,0.64,56.30%,0.68,68.40%
jks,23,1.18,0.75,56.60%,0.62,72.20%
AZR,26,1.04,0.67,46.80%,0.67,68.60%
jkaem,25,1.11,0.71,50.10%,0.67,71.90%
Gratisfaction,23,1.03,0.66,29.30%,0.62,67.40%
Liazz,21,0.96,0.53,44.70%,0.6,73.50%
f0rest,30,1.11,0.73,47.90%,0.64,71.80%
GeT_RiGhT,28,0.95,0.6,48.10%,0.7,67.40%
draken,23,1.11,0.71,31.70%,0.61,70.50%
Lekr0,25,1,0.63,49.30%,0.66,66.80%
REZ,21,1.11,0.72,45.60%,0.68,68.40%
kioShiMa,24,1.12,0.72,48.00%,0.62,71.60%
RUSH,24,0.95,0.62,50.30%,0.7,66.90%
autimatic,22,1.09,0.71,26.60%,0.63,69.70%
Golden,25,0,0,0.00%,0,0.00%
NBK-,24,1.04,0.64,53.30%,0.66,69.10%
RpK,29,1,0.62,51.10%,0.63,71.60%
apEX,26,1.11,0.73,54.30%,0.68,69.80%
ALEX,23,0.99,0.64,51.50%,0.64,69.10%
ZywOo,18,1.34,0.84,42.40%,0.6,76.10%
daps,25,0.94,0.57,42.70%,0.62,70.90%
tarik,23,1.13,0.74,39.40%,0.69,69.70%
Brehze,20,1.36,0.88,51.60%,0.64,75.90%
Ethan,19,1.24,0.76,44.60%,0.62,73.90%
CeRq,19,1.12,0.68,26.50%,0.58,72.90%
cadiaN,23,0.91,0.55,29.50%,0.61,66.10%
aizy,22,1,0.62,50.40%,0.63,69.00%
Kjaerbye,20,1,0.64,48.80%,0.67,68.50%
gade,24,1.02,0.67,53.10%,0.69,70.10%
valde,23,1.25,0.82,48.30%,0.63,72.50%
fitch,26,1.03,0.65,51.80%,0.67,67.20%
buster,19,1.11,0.69,47.00%,0.59,72.80%
KrizzeN,19,0.95,0.58,57.60%,0.64,69.10%
qikert,20,1.12,0.7,54.30%,0.62,72.10%
Jame,20,1.31,0.79,26.60%,0.5,76.50%
Xizt,28,0.93,0.58,42.10%,0.66,65.70%
JW,24,0.98,0.61,36.50%,0.7,67.00%
twist,24,1.01,0.66,47.00%,0.69,68.80%
KRIMZ,24,1.15,0.73,42.00%,0.64,72.60%
Brollan,16,1.11,0.74,57.30%,0.69,69.50%
steel,29,1.09,0.7,50.60%,0.7,70.10%
freakazoid,26,1.02,0.68,48.20%,0.68,68.60%
koosta,22,1.17,0.75,44.50%,0.64,72.10%
WARDELL,20,1.19,0.74,28.10%,0.58,72.70%
neptune,16,0.99,0.61,54.60%,0.65,71.20%
gob b,31,0.94,0.58,49.80%,0.63,69.30%
tabseN,23,1.14,0.74,38.80%,0.66,68.60%
tiziaN,22,0.95,0.59,49.70%,0.65,67.50%
nex,26,1.01,0.63,54.70%,0.64,69.20%
XANTARES,23,1.21,0.81,54.50%,0.7,67.50%
JaCkz,26,1.09,0.71,58.90%,0.64,70.80%
shox,26,1.13,0.75,54.60%,0.66,70.70%
kennyS,23,1.25,0.82,32.70%,0.6,72.90%
AmaNEk,25,0,0,0.00%,0,0.00%
Lucky,20,1.11,0.67,40.60%,0.58,74.40%
huNter,23,1.25,0.81,55.10%,0.65,71.60%
LETN1,26,1.04,0.63,47.60%,0.6,72.80%
nexa,21,1.15,0.72,52.20%,0.59,74.50%
ottoNd,21,1.19,0.74,26.60%,0.58,73.20%
EspiranTo,17,1.11,0.73,62.50%,0.67,71.80%
arT,22,1.11,0.71,32.30%,0.67,68.20%
yuurih,19,1.25,0.79,45.80%,0.64,74.30%
VINI,19,1.06,0.68,53.40%,0.66,70.70%
KSCERATO,19,1.24,0.77,48.30%,0.52,77.70%
ableJ,20,1.03,0.63,51.40%,0.63,74.20%
oskar,27,0.9,0.58,36.20%,0.68,64.70%
suNny,24,1.03,0.71,51.00%,0.73,66.90%
ropz,19,1.08,0.64,57.30%,0.58,73.40%
facecrack,24,1.17,0.76,50.10%,0.66,72.10%
almazer,20,1.14,0.71,50.40%,0.62,74.00%
FL1T,18,1.11,0.7,42.80%,0.62,73.70%
xsepower,21,1.32,0.82,24.30%,0.56,75.40%
Jerry,20,1.11,0.69,44.40%,0.64,73.50%
ANGE1,29,0.87,0.56,54.10%,0.75,61.90%
Hobbit,24,0.98,0.66,41.90%,0.67,65.30%
woxic,20,1.22,0.8,36.20%,0.66,68.50%
DeadFox,24,0.82,0.47,55.30%,0.65,68.00%
ISSAA,22,1.08,0.71,64.10%,0.65,69.90%
WorldEdit,27,1.05,0.69,27.00%,0.64,67.00%
wayLander,24,0.91,0.6,53.60%,0.72,65.40%
Kvik,23,1.01,0.66,43.20%,0.66,67.80%
Boombl4,20,1.14,0.75,41.90%,0.67,67.60%
n0rb3r7,18,1.01,0.68,46.60%,0.69,66.10%
advent,26,0.88,0.52,47.20%,0.65,70.20%
zhokiNg,25,1,0.65,48.50%,0.73,67.70%
aumaN,24,1.02,0.66,42.20%,0.68,66.90%
Kaze,24,1.13,0.73,29.20%,0.62,69.50%
Freeman,19,1.12,0.75,48.90%,0.66,68.20%
Summer,21,0.9,0.61,47.60%,0.74,63.50%
BnTeT,23,1.06,0.67,43.10%,0.66,68.60%
AttackeR,22,1.02,0.71,47.90%,0.72,65.20%
somebody,23,0.9,0.59,36.80%,0.73,62.90%
xccurate,21,0.94,0.61,33.10%,0.66,65.90%
n0thing,28,0.98,0.64,45.90%,0.69,68.90%
ShahZaM,25,1.07,0.69,30.60%,0.65,71.00%
dephh,27,1.02,0.66,52.40%,0.71,67.40%
stanislaw,24,1.08,0.71,50.40%,0.67,68.80%
Rickeh,27,0.98,0.61,47.10%,0.68,69.40%
syrsoN,22,1.13,0.72,25.30%,0.62,69.80%
Spiidi,23,1.1,0.68,43.50%,0.62,71.70%
denis,24,1.13,0.73,41.80%,0.7,70.30%
mirbit,22,1.05,0.64,43.90%,0.57,71.90%
faveN,19,1.12,0.71,54.20%,0.64,71.70%
friberg,27,1.03,0.67,45.00%,0.66,71.80%
es3tag,23,1.08,0.69,36.60%,0.65,72.30%
mertz,20,1.05,0.71,32.30%,0.71,66.30%
stavn,16,1.17,0.79,36.30%,0.69,68.60%
blameF,21,1.13,0.73,40.20%,0.63,72.70%
kNgV-,24,1.29,0.84,31.00%,0.59,74.70%
xand,23,1.08,0.67,47.60%,0.65,71.70%
destiny,21,1.02,0.65,55.10%,0.66,71.10%
yeL,26,1.03,0.63,37.60%,0.61,71.60%
chelo,20,1.15,0.72,66.20%,0.63,73.50%
